1. Ano,2. Nome Região (Portugal),3. Filtro 1,4. Filtro 2,5. Filtro 3,6. Escala,7. Símbolo,8. Valor
2001,Portugal,Lutas Amadoras,,, pessoas,,1117
2001,Portugal,Minigolfe,,, pessoas,,208
2001,Portugal,Motociclismo,,, pessoas,,1258
2001,Portugal,Motonáutica,,, pessoas,,150
2001,Portugal,Natação,,, pessoas,,6108
2001,Portugal,Orientação,,, pessoas,,1268
2001,Portugal,Padel,,, pessoas,-,
2001,Portugal,Paraquedismo,,, pessoas,,1197
2001,Portugal,Patinagem,,, pessoas,,10029
2001,Portugal,Pentatlo Moderno,,, pessoas,,149
2001,Portugal,Pesca Desportiva,,, pessoas,,4065
2001,Portugal,Pesca Desportiva do Alto Mar,,, pessoas,,503
2001,Portugal,Petanca,,, pessoas,,1100
2001,Portugal,Remo,,, pessoas,,1273
2001,Portugal,Rugby,,, pessoas,,3615
2001,Portugal,Ski Náutico,,, pessoas,,58
2001,Portugal,Squash,,, pessoas,-,
2001,Portugal,Surf,,, pessoas,,1186
2001,Portugal,Taekwondo,,, pessoas,,2128
2001,Portugal,Ténis,,, pessoas,,11425
2001,Portugal,Ténis de Mesa,,, pessoas,,4867
2001,Portugal,Tiro,,, pessoas,,4298
2001,Portugal,Tiro com Arco,,, pessoas,,297
2001,Portugal,Tiro com Armas de Caça,,, pessoas,,3101
2001,Portugal,Total,,, pessoas,,334968
2001,Portugal,Trampolins e Desp. Acrobáticos,,, pessoas,,2676
2001,Portugal,Triatlo,,, pessoas,,460
2001,Portugal,Vela,,, pessoas,,2761
2001,Portugal,Voleibol,,, pessoas,,12286
2001,Portugal,Voo Livre,,, pessoas,,821
2001,Portugal,Xadrez,,, pessoas,,3819
2002,Portugal,Aeromodelismo,,, pessoas,,816
2002,Portugal,Aeronáutica,,, pessoas,,3359
2002,Portugal,Aikido,,, pessoas,,638
2002,Portugal,Andebol,,, pessoas,,24537
2002,Portugal,Arqueiros e Besteiros,,, pessoas,,178
2002,Portugal,Artes Marciais Chinesas,,, pessoas,,319
2002,Portugal,Atividades Subaquáticas,,, pessoas,,2873
2002,Portugal,Atletismo,,, pessoas,,12532
2002,Portugal,Automobilismo,,, pessoas,,3962
2002,Portugal,Badminton,,, pessoas,,1086
2002,Portugal,Basebol e Softbol,,, pessoas,-,
2002,Portugal,Basquetebol,,, pessoas,,20878
2002,Portugal,Bilhar,,, pessoas,,1072
2002,Portugal,Boxe,,, pessoas,,327
2002,Portugal,Bridge,,, pessoas,,1040
2002,Portugal,Budo,,, pessoas,,321
2002,Portugal,Campismo e Montanhismo,,, pessoas,,1596
2002,Portugal,Canoagem,,, pessoas,,1590
2002,Portugal,Ciclismo,,, pessoas,,4031
2002,Portugal,Columbofilia,,, pessoas,,17914
2002,Portugal,Corfebol,,, pessoas,,216
2002,Portugal,Damas,,, pessoas,,451
2002,Portugal,Dança Desportiva,,, pessoas,,1223
2002,Portugal,Desporto para pessoas com deficiência,,, pessoas,,2119
2002,Portugal,Desporto Universitário,,, pessoas,,3259
2002,Portugal,Desportos de inverno,,, pessoas,,183
2002,Portugal,Equestre,,, pessoas,,1150
2002,Portugal,Escalada de Competição,,, pessoas,-,
2002,Portugal,Esgrima,,, pessoas,,748
2002,Portugal,Futebol,,, pessoas,,120003
2002,Portugal,Futebol de Salão,,, pessoas,-,
2002,Portugal,Ginástica,,, pessoas,,10481
2002,Portugal,Golfe,,, pessoas,,13065
2002,Portugal,Halterofilismo,,, pessoas,-,
2002,Portugal,Hóquei,,, pessoas,,700
2002,Portugal,Hovercraft,,, pessoas,-,
2002,Portugal,Jet Ski,,, pessoas,,573
2002,Portugal,Ju-Jitsu e Disciplinas Associadas,,, pessoas,x,
2002,Portugal,Judo,,, pessoas,x,
2002,Portugal,Karate,,, pessoas,,11865
2002,Portugal,Kickboxing,,, pessoas,,2739
2002,Portugal,Lohan Tao Kempo,,, pessoas,-,
2002,Portugal,Lutas Amadoras,,, pessoas,,1371
2002,Portugal,Minigolfe,,, pessoas,,209
2002,Portugal,Motociclismo,,, pessoas,,1098
2002,Portugal,Motonáutica,,, pessoas,,464
2002,Portugal,Natação,,, pessoas,,6350
2002,Portugal,Orientação,,, pessoas,,1777
2002,Portugal,Padel,,, pessoas,-,
2002,Portugal,Paraquedismo,,, pessoas,,1171
2002,Portugal,Patinagem,,, pessoas,,9979
2002,Portugal,Pentatlo Moderno,,, pessoas,,227
2002,Portugal,Pesca Desportiva,,, pessoas,,3966
2002,Portugal,Pesca Desportiva do Alto Mar,,, pessoas,,448
2002,Portugal,Petanca,,, pessoas,,1138
2002,Portugal,Remo,,, pessoas,,1319
2002,Portugal,Rugby,,, pessoas,,3636
2002,Portugal,Ski Náutico,,, pessoas,,82
2002,Portugal,Squash,,, pessoas,-,
2002,Portugal,Surf,,, pessoas,,1505
2002,Portugal,Taekwondo,,, pessoas,,2239
2002,Portugal,Ténis,,, pessoas,,12438
2002,Portugal,Ténis de Mesa,,, pessoas,,4640
2002,Portugal,Tiro,,, pessoas,,4933
